,text,favourite_count,retweet_count,created_at,handle
0,"[  8/12] Competitors such as Disney+, Amazon, HBO Max, and Apple have caught up with the pacesetter.",0,0,2022-07-26 14:06:55+00:00,@TheNextWeb
1,EU ruling means Amazon makes unsubscribing from Prime easier https://t.co/DkXlFuBqgE,3,1,2022-07-09 09:42:07+00:00,@TheNextWeb
2,EU ruling means Amazon makes unsubscribing from Prime easier https://t.co/i4CWi8TelO,5,3,2022-07-08 03:59:54+00:00,@TheNextWeb
3,EU ruling means Amazon makes unsubscribing from Prime easier https://t.co/cOFsZ61fEy,4,1,2022-07-07 05:24:41+00:00,@TheNextWeb
4,EU ruling means Amazon makes unsubscribing from Prime easier https://t.co/zMeE8ABLCS,5,0,2022-07-06 16:24:59+00:00,@TheNextWeb
5,Popular Highlights on the Amazon Kindle are awful   here's how to turn them off https://t.co/w2lktLxaqZ,3,0,2022-05-11 22:24:16+00:00,@TheNextWeb
6,Popular Highlights on the Amazon Kindle are awful   here's how to turn them off https://t.co/5SkZLKTJpa,4,0,2022-05-10 13:30:56+00:00,@TheNextWeb
7,"Amazon will allow you to put EPUB files on your Kindle, but good luck using them elsewhere https://t.co/nRgzS3xstP",3,2,2022-05-05 02:18:19+00:00,@TheNextWeb
8,"Amazon will allow you to put EPUB files on your Kindle, but good luck using them elsewhere https://t.co/xRXCoHWiUV",4,0,2022-05-04 03:35:18+00:00,@TheNextWeb
9,The Amazon Kindle will soon support EPUB files  kinda (story by @callumbooth) https://t.co/ER9oo6hrFq,1,2,2022-05-03 15:03:41+00:00,@TheNextWeb
10,"Amazon will allow you to put EPUB files on your Kindle, but good luck using them elsewhere https://t.co/kEirrkEmMy",5,2,2022-05-03 14:28:28+00:00,@TheNextWeb
11,Inside the battle for the future of Amazon https://t.co/9BXJIXYIDg,3,0,2023-01-19 22:01:48+00:00,@recode
12,Amazon s antitrust settlement in Europe sure looks like a win for Amazon https://t.co/1knGaWuL01,1,1,2022-12-22 18:05:05+00:00,@recode
13,"Layoffs, buyouts, and rescinded offers: Amazon s status as a top tech employer is taking a hit https://t.co/ilwPFXcRq8",6,2,2022-12-08 11:33:26+00:00,@recode
14,A leaked Amazon memo may help explain why the tech giant is pushing out so many recruiters https://t.co/rYNHbte69U,4,1,2022-11-23 21:26:54+00:00,@recode
15,Silence from the top: 48 hours of chaos inside Amazon s massive layoffs https://t.co/5C4B8QYxpt,5,1,2022-11-16 22:15:59+00:00,@recode
16,Basically everything on Amazon has become an ad. It s only the beginning. https://t.co/fGQGjgau50,4,2,2022-11-10 15:40:27+00:00,@recode
17,Why Amazon s stock price is tanking   and why that should worry you https://t.co/TVvEk2woSc,4,3,2022-10-27 23:21:15+00:00,@recode
18,The Amazon Labor Union suffers another loss but vows to keep fighting https://t.co/6koqVh3w6l,4,0,2022-10-18 16:34:15+00:00,@recode
19,Amazon workers in upstate New York are fighting for a crucial second union win https://t.co/f4w5Fmg3vJ,3,1,2022-10-13 13:43:03+00:00,@recode
20,Amazon s robots are getting closer to replacing human hands https://t.co/lSf4BvNuHn,3,2,2022-09-27 10:36:00+00:00,@recode
21,Amazon s CEO still isn t accepting the historic Staten Island union victory https://t.co/JUnvLCjCXv,3,3,2022-09-07 20:41:01+00:00,@recode
22,"Amazon CEO @ajassy tells @karaswisher on the #CodeCon stage re: unions,  At the end of the day our employees should decide. We believe that our employees are better off in the structure that they re in right now.  https://t.co/cF3ylpFSD2",5,1,2022-09-07 18:37:39+00:00,@recode
23,Some Amazon Prime customers say they don t have two-day shipping anymore https://t.co/HVmPVxQG8e,7,1,2022-09-07 11:33:54+00:00,@recode
24,Leaked internal memo reveals Amazon s anti-union strategies https://t.co/CV0E0m6joj,28,18,2022-07-29 10:06:13+00:00,@recode
25,"Amazon wants to be your doctor now, too https://t.co/d85pbzRhRN",4,2,2022-07-21 20:36:38+00:00,@recode
