,text,favourite_count,retweet_count,created_at,handle
0,"Amazon tops LinkedIn s list of best places to work, jobseeker priorities shift to workplace culture https://t.co/WBBzEdZHC9",12,6,2023-04-19 11:45:48+00:00,TechCrunch
1,"Amazon tops LinkedIn's list of best places to work, jobseeker priorities shift to workplace culture https://t.co/2ZAIsGeM9V by @ingridlunden",6,3,2023-04-19 11:08:09+00:00,TechCrunch
2,Daily Crunch: Amazon s new Bedrock cloud service lets developers incorporate generative AI https://t.co/PGmTUrtzHr,11,3,2023-04-14 01:43:39+00:00,TechCrunch
3,Daily Crunch: Amazon's new Bedrock cloud service lets developers incorporate generative AI https://t.co/KVMAUGHqwZ by @christinemhall and @Haje,18,7,2023-04-13 22:05:43+00:00,TechCrunch
4,"With Bedrock, Amazon enters the generative AI race https://t.co/EkilndyLpe",21,8,2023-04-13 15:06:15+00:00,TechCrunch
5,"With Bedrock, Amazon enters the generative AI race https://t.co/t9R9AH5v4a by @kyle_l_wiggers",56,23,2023-04-13 12:31:06+00:00,TechCrunch
6,FTC orders supplement maker to pay $600K in first case involving hijacked Amazon reviews https://t.co/mbAOS0pdqu,20,9,2023-04-10 21:15:43+00:00,TechCrunch
7,FTC orders supplement maker to pay $600K in first case involving hijacked Amazon reviews https://t.co/f62FTG81YI by @sarahintampa,23,3,2023-04-10 18:56:48+00:00,TechCrunch
8,Amazon s $1.7B iRobot acquisition scrutinized by UK on competition grounds https://t.co/qXuC7SdcbY,22,11,2023-04-06 10:40:51+00:00,TechCrunch
9,Amazon's $1.7B iRobot acquisition scrutinized by UK on competition grounds https://t.co/BsBt7xn0jG by @psawers,10,4,2023-04-06 10:09:41+00:00,TechCrunch
10,"Amazon to shutter Book Depository, a UK-based online bookseller it acquired in 2011, on April 26 https://t.co/8dS1ryOv5j",20,9,2023-04-05 03:15:54+00:00,TechCrunch
11,Amazon wants to boost ten generative AI startups around the globe https://t.co/Ce8GkO8SLC,14,6,2023-04-04 21:12:33+00:00,TechCrunch
12,"Amazon to shutter Book Depository, a UK-based online bookseller it acquired in 2011, on April 26 https://t.co/cfRm6Bw62x by @psawers",14,8,2023-04-04 16:35:09+00:00,TechCrunch
13,Amazon wants to boost ten generative AI startups around the globe https://t.co/IoTudR85we by @nmasc_,20,5,2023-04-04 10:00:44+00:00,TechCrunch
14,Amazon Pharmacy now automatically applies coupons on select brand name drugs https://t.co/r4256wNgMI,19,2,2023-03-30 01:19:19+00:00,TechCrunch
15,Amazon now lets T-mobile customers make and receive calls via an Alexa-enabled device https://t.co/OKquj22CYv,13,1,2023-03-29 22:32:37+00:00,TechCrunch
16,Amazon Pharmacy now automatically applies coupons on select brand name drugs https://t.co/8WBkOhNb3s by @aiishamalik1,10,2,2023-03-29 14:46:24+00:00,TechCrunch
17,Amazon-backed Acko nears $120 million in new funding https://t.co/VkEb2ATell,7,3,2023-03-29 10:08:58+00:00,TechCrunch
18,Amazon now lets T-mobile customers make and receive calls via an Alexa-enabled device https://t.co/Inhq9oyScW by @indianidle,18,4,2023-03-29 05:33:29+00:00,TechCrunch
19,Amazon-backed Acko nears $120 million in new funding https://t.co/yH6fSQkGty by @refsrc,8,4,2023-03-29 05:26:49+00:00,TechCrunch
20,"Amazon opens its low-bandwidth, long-range Sidewalk network to developers https://t.co/H3hhgNw7Sg",23,8,2023-03-28 13:26:10+00:00,TechCrunch
21,"Amazon opens its low-bandwidth, long-range Sidewalk network to developers https://t.co/pWBdKAdsta by @fredericl",8,1,2023-03-28 13:00:39+00:00,TechCrunch
22,Lyft CEO and president stepping down to be replaced by former Amazon exec https://t.co/AH0fAtiiXl,29,10,2023-03-28 05:11:36+00:00,TechCrunch
23,Lyft CEO and president stepping down to be replaced by former Amazon exec https://t.co/xcHsm2YEMM by @rebeccabellan,7,6,2023-03-27 21:28:40+00:00,TechCrunch
24,"Amazon expands Fire TV lineup with more QLED models, entry-level 2-Series TVs and new markets https://t.co/z9twXj3ykg",9,1,2023-03-22 14:47:36+00:00,TechCrunch
25,"Amazon expands Fire TV lineup with more QLED models, entry-level 2-Series TVs and new markets https://t.co/r1hrx9YAnr by @sarahintampa",3,1,2023-03-22 14:01:50+00:00,TechCrunch
26,Amazon s palm-reading payment tech is coming to Panera Bread https://t.co/n7IV5HBQgs,9,9,2023-03-22 12:01:39+00:00,TechCrunch
27,Amazon's palm-reading payment tech is coming to Panera Bread https://t.co/gIpGXizI4u by @sarahintampa,15,2,2023-03-22 11:00:52+00:00,TechCrunch
28,"Amazon kills DPReview, the best camera review site on the web https://t.co/LpBDlsdKXH",49,25,2023-03-21 19:40:48+00:00,TechCrunch
29,"Amazon kills DPReview, the best camera review site on the web https://t.co/9XWm2qhyHJ | by Devin Coldewey",54,17,2023-03-21 16:39:36+00:00,TechCrunch
30,OP3N raises $28M to build  WhatsApp meets Amazon  for web3 https://t.co/I56TXncEQR,14,5,2023-03-21 12:18:30+00:00,TechCrunch
31,OP3N raises $28M to build 'WhatsApp meets Amazon' for web3 https://t.co/fXuS6wSF4t by @jacqmelinek,9,4,2023-03-21 12:00:52+00:00,TechCrunch
32,"Daily Crunch: Amazon CEO says laying off 9,000 more workers  is best for the company long-term  https://t.co/S4vn5sZc9O",25,11,2023-03-20 22:43:16+00:00,TechCrunch
33,"Daily Crunch: Amazon CEO says laying off 9,000 more workers 'is best for the company long-term' https://t.co/QQe2kU3oOP by @christinemhall and @Haje",21,3,2023-03-20 22:05:25+00:00,TechCrunch
34,AWS takes a hit in latest round of Amazon layoffs https://t.co/Fk42WGDJ7l,21,9,2023-03-20 17:16:19+00:00,TechCrunch
35,AWS takes a hit in latest round of Amazon layoffs https://t.co/yzojYOa8cY by @ron_miller,13,5,2023-03-20 16:42:34+00:00,TechCrunch
36,"Amazon confirms another round of layoffs, impacting 9,000 people in AWS, Twitch and other units https://t.co/q1AdwgOX1H",60,33,2023-03-20 16:26:22+00:00,TechCrunch
37,"Amazon confirms another round of layoffs, impacting 9,000 people in AWS, Twitch and other units https://t.co/ajgzMD0BXg by @psawers",46,33,2023-03-20 14:56:13+00:00,TechCrunch
38,Amazon reveals terminal designs for Project Kuiper satellite internet https://t.co/56Q8W7OPln by @etherington,14,5,2023-03-14 14:52:40+00:00,TechCrunch
39,Rivian in talks with Amazon to remove exclusivity clause of EV van agreement https://t.co/4oKINbcM7U by @kirstenkorosec,32,7,2023-03-13 15:07:31+00:00,TechCrunch
40,"Amazon to close eight Amazon Go stores in Seattle, San Francisco and New York https://t.co/OLVQmDmNnB by @aiishamalik1",17,11,2023-03-07 17:37:48+00:00,TechCrunch
41,Threecolts raises $90M to build out its toolkit for third parties selling on marketplaces like Amazon https://t.co/JXxjX3KTw1 by @ingridlunden https://t.co/B2LA6RGHtk,24,6,2023-03-07 13:36:17+00:00,TechCrunch
42,Threecolts raises $90M to build out its toolkit for third parties selling on marketplaces like Amazon https://t.co/DeYyGa899X by @ingridlunden,14,7,2023-03-07 13:20:26+00:00,TechCrunch
43,"Stream #ASIN9NE on @AmazonMusic  

Hit the link&gt;&gt; https://t.co/TazmdhEvfr https://t.co/qPnDJYBBrJ",90,15,2021-11-29 03:45:02+00:00,TechN9ne
44,"#ASIN9NE available now on @AmazonMusic! ASK ALEXA!

https://t.co/TazmdhEvfr https://t.co/yfVekqF67c",126,15,2021-11-06 22:35:02+00:00,TechN9ne
