,Unnamed: 0,text,favourite_count,retweet_count,created_at,handle
0,0,competitors disney amazon hbo max apple caught pacesetter,0,0,2022-07-26 14:06:55+00:00,@TheNextWeb
1,1,eu ruling means amazon makes unsubscribing prime easier,3,1,2022-07-09 09:42:07+00:00,@TheNextWeb
2,2,eu ruling means amazon makes unsubscribing prime easier,5,3,2022-07-08 03:59:54+00:00,@TheNextWeb
3,3,eu ruling means amazon makes unsubscribing prime easier,4,1,2022-07-07 05:24:41+00:00,@TheNextWeb
4,4,eu ruling means amazon makes unsubscribing prime easier,5,0,2022-07-06 16:24:59+00:00,@TheNextWeb
5,5,popular highlights amazon kindle awful turn,3,0,2022-05-11 22:24:16+00:00,@TheNextWeb
6,6,popular highlights amazon kindle awful turn,4,0,2022-05-10 13:30:56+00:00,@TheNextWeb
7,7,amazon allow put epub files kindle good luck using elsewhere,3,2,2022-05-05 02:18:19+00:00,@TheNextWeb
8,8,amazon allow put epub files kindle good luck using elsewhere,4,0,2022-05-04 03:35:18+00:00,@TheNextWeb
9,9,amazon kindle soon support epub files kinda story,1,2,2022-05-03 15:03:41+00:00,@TheNextWeb
10,10,amazon allow put epub files kindle good luck using elsewhere,5,2,2022-05-03 14:28:28+00:00,@TheNextWeb
11,11,inside battle future amazon,3,0,2023-01-19 22:01:48+00:00,@recode
12,12,amazon antitrust settlement europe sure looks like win amazon,1,1,2022-12-22 18:05:05+00:00,@recode
13,13,layoffs buyouts rescinded offers amazon status top tech employer taking hit,6,2,2022-12-08 11:33:26+00:00,@recode
14,14,leaked amazon memo may help explain tech giant pushing many recruiters,4,1,2022-11-23 21:26:54+00:00,@recode
15,15,silence top hours chaos inside amazon massive layoffs,5,1,2022-11-16 22:15:59+00:00,@recode
16,16,basically everything amazon become ad beginning,4,2,2022-11-10 15:40:27+00:00,@recode
17,17,amazon stock price tanking worry,4,3,2022-10-27 23:21:15+00:00,@recode
18,18,amazon labor union suffers another loss vows keep fighting,4,0,2022-10-18 16:34:15+00:00,@recode
19,19,amazon workers upstate new york fighting crucial second union win,3,1,2022-10-13 13:43:03+00:00,@recode
20,20,amazon robots getting closer replacing human hands,3,2,2022-09-27 10:36:00+00:00,@recode
21,21,amazon ceo still accepting historic staten island union victory,3,3,2022-09-07 20:41:01+00:00,@recode
22,22,amazon ceo tells codecon stage unions end day employees decide believe employees better structure right,5,1,2022-09-07 18:37:39+00:00,@recode
23,23,amazon prime customers say two day shipping anymore,7,1,2022-09-07 11:33:54+00:00,@recode
24,24,leaked internal memo reveals amazon anti union strategies,28,18,2022-07-29 10:06:13+00:00,@recode
25,25,amazon wants doctor,4,2,2022-07-21 20:36:38+00:00,@recode
26,26,amazon executives discussed ditching amazon basics appease regulators,8,2,2022-07-15 11:59:18+00:00,@recode
27,27,fell amazon made holiday yet,2,2,2022-07-14 12:59:45+00:00,@recode
28,28,amazon ring privacy problem back,5,1,2022-07-13 18:13:28+00:00,@recode
29,29,parts us labor shortages yet certainty remnants amazon longtime aggressive termination practices persist explores exactly looming labor crisis means amazon,3,1,2022-06-17 15:26:38+00:00,@recode
30,30,result amazon seemed reversed stopped enforcing workplace policies phoenix warehouses amid labor shortage according former manager,4,1,2022-06-17 15:25:12+00:00,@recode
31,31,internal forecast show situation similarly dire phoenix arizona amazon projected exhaust entire potential workforce end,4,1,2022-06-17 15:25:03+00:00,@recode
32,32,new amazon may run people hire warehouse jobs inland empire region california soon end leaked internal report finds,15,8,2022-06-17 15:24:36+00:00,@recode
33,33,leaked amazon memo warns company running people hire,67,23,2022-06-17 11:08:18+00:00,@recode
34,34,amazon fired chris smalls new union leader one biggest problems,13,6,2022-06-07 10:31:54+00:00,@recode
35,35,amazon surprising new delivery partners rural mom pop shops,3,3,2022-05-09 16:41:47+00:00,@recode
36,36,amazon worker union lost new york city go,0,0,2022-05-02 19:36:44+00:00,@recode
37,37,amazonification american workforce,9,3,2022-04-21 10:03:13+00:00,@recode
38,38,america finally gets amazon union,8,1,2022-04-01 16:38:08+00:00,@recode
39,39,new series land giants titans tech examines facebook apple amazon netflix google changed world companies altered way communicate shop entertain cost stream,16,5,2022-03-29 18:05:00+00:00,@recode
40,40,amazon raising price prime despite shipping hurdles,4,1,2022-02-04 01:32:14+00:00,@recode
41,41,true cost amazon low prices,6,4,2022-01-13 14:08:14+00:00,@recode
42,42,amazon strategy squeeze marketplace sellers maximize profits evolving,13,3,2021-12-01 13:04:31+00:00,@recode
43,43,complicated promise amazon space internet,2,3,2021-11-03 15:21:29+00:00,@recode
44,44,jeff bezos commits billion conservation amazon destroys world,45,13,2021-09-21 18:28:53+00:00,@recode
45,45,amazon favorite electric vehicle company going public best worst time,4,2,2021-08-30 22:37:36+00:00,@recode
46,46,amazon union drive yet,6,2,2021-08-03 21:32:40+00:00,@recode
47,47,several current former amazon workers claim company values protecting brand everything else including diversity racial equity inclusion work,6,3,2021-06-16 21:00:20+00:00,@recode
48,48,years around members amazon central dei team either left pushed sources told several current former diversity employees say amazon public commitment inclusion match reality inside,4,5,2021-06-16 19:00:27+00:00,@recode
49,49,several diversity workers amazon told recode multiple people led diversity amp inclusion efforts amazon prior meaningful experience diversity work made difficult jobs,3,0,2021-06-16 15:00:27+00:00,@recode
50,50,current former amazon employees say many dei experts access company demographic data could impact diversity efforts recode reported issues sources say company restricted access data,8,5,2021-06-15 22:00:31+00:00,@recode
51,51,amazon meeting business objectives comes consequences employees sources tell comes diversity inclusion workers claim goals aspirational neither incentives consequences,12,9,2021-06-15 18:30:10+00:00,@recode
52,52,interviews multiple current former amazon employees show company slow make real progress dei efforts explores behavior exhibits larger company attitude ignoring racial bias,7,2,2021-06-15 12:30:03+00:00,@recode
53,53,amazon black employees say company hr department failing,9,1,2021-06-15 10:00:51+00:00,@recode
54,54,small antitrust lawsuit amazon could mean big things big tech,9,1,2021-05-25 21:51:11+00:00,@recode
55,55,amazon paying billion mgm james bond,7,6,2021-05-24 21:42:21+00:00,@recode
56,56,mailbox could get amazon union vote overturned,3,1,2021-05-21 18:41:12+00:00,@recode
57,57,amazon internal messages show ftc prodding tech giant punish fake review schemers,4,0,2021-05-20 18:22:46+00:00,@recode
58,58,amazon hit five lawsuits employees allege race gender discrimination,6,2,2021-05-19 20:48:28+00:00,@recode
59,59,amazon warehouse employees say would recommend place work according company survey several workers tell recode workers answer survey honestly fear negative feedback managers,76,22,2021-04-30 11:06:00+00:00,@recode
60,60,jeff bezos says amazon workers would recommend job friend amazon workers say stat unreliable,4,2,2021-04-29 20:01:51+00:00,@recode
61,61,jeff bezos seems reckoning legacy wake amazon union drive,16,5,2021-04-15 19:17:26+00:00,@recode
62,62,amazon union vote happens,5,3,2021-04-10 11:00:35+00:00,@recode
63,63,amazon way ahead historic warehouse union vote battle still,0,0,2021-04-09 00:14:25+00:00,@recode
64,64,looks like amazon changing date prime day,9,5,2021-04-08 16:26:03+00:00,@recode
65,65,amazon started twitter war jeff bezos pissed,919,204,2021-03-28 21:01:05+00:00,@recode
66,66,amazon employees accuse company union busting removes workers internal directory,7,5,2021-03-24 22:13:25+00:00,@recode
67,67,amazon billion nfl deal huge sign sports staying tv longer,4,2,2021-03-18 22:08:56+00:00,@recode
68,68,amazon next ceo defends company racial bias reports internal note says lot work,3,3,2021-03-09 17:32:12+00:00,@recode
69,69,union vote could change amazon forever,6,0,2021-03-03 20:01:24+00:00,@recode
70,70,black amazon manager suing company executives discrimination sexual harassment assault case,1,3,2021-03-01 18:40:57+00:00,@recode
71,71,bias disrespect demotions black employees say amazon race problem,13,6,2021-02-26 17:48:10+00:00,@recode
72,72,exclusive internal data interviews dozen amazon corporate employees show black employees face harmful racial bias company held back cases caused quit,55,38,2021-02-26 13:30:05+00:00,@recode
73,73,bias disrespect demotions black employees say amazon race problem,3,2,2021-02-26 13:02:00+00:00,@recode
74,74,new york suing amazon pandemic labor conditions,7,2,2021-02-17 19:04:20+00:00,@recode
75,75,expect amazon new ceo andy jassy,6,4,2021-02-03 18:21:44+00:00,@recode
76,76,andy jassy take jeff bezos ceo amazon later year spoke jassy code conference watch full interview,12,7,2021-02-02 23:33:24+00:00,@recode
77,77,amazon facial recognition boss wants feds hurry regulation,6,3,2021-02-02 23:18:39+00:00,@recode
78,78,jeff bezos stepping ceo amazon andy jassy head amazon web services lead day day operations company,14,8,2021-02-02 22:02:49+00:00,@recode
79,79,jeff bezos stepping amazon ceo,9,8,2021-02-02 21:59:29+00:00,@recode
80,80,amazon pay nearly million outrageous practice pocketing driver tips,11,5,2021-02-02 18:34:27+00:00,@recode
81,81,amazon employees want right wing militia merchandise taken,33,12,2021-01-11 20:19:13+00:00,@recode
82,82,mackenzie scott amazon billionaire giving away billion month charity,36,9,2020-12-15 20:23:05+00:00,@recode
83,83,one amazon biggest critics thinks future retail industry means workers,2,0,2020-12-03 19:20:59+00:00,@recode
84,84,amazon starts selling prescription drugs two day delivery prime members,9,7,2020-11-17 11:02:15+00:00,@recode
85,85,amazon gets hit antitrust charges europe,10,3,2020-11-10 15:34:31+00:00,@recode
86,86,amazon created fertile ground bribery schemes sellers say,2,1,2020-10-26 18:53:22+00:00,@recode
87,87,new amazon feature make easier get grocery delivery slot winter,6,1,2020-10-08 21:15:46+00:00,@recode
88,88,today pm et interview stephenie landry amazon worldwide vice president grocery register watch conversation live,1,1,2020-10-07 16:59:34+00:00,@recode
89,89,big tech antitrust report one big conclusion amazon apple facebook google anti competitive,38,13,2020-10-07 00:38:12+00:00,@recode
90,90,leaked confidential amazon memo reveals new software track unions,60,48,2020-10-06 14:01:20+00:00,@recode
91,91,amazon let pay palm stores,12,7,2020-09-29 07:01:18+00:00,@recode
92,92,amazon employees fear hr targeting minority activism groups email monitoring program,4,5,2020-09-25 01:17:34+00:00,@recode
93,93,amazon surveillance cameras fly terrifying,15,4,2020-09-24 23:13:37+00:00,@recode
94,94,hear amazon worldwide vp grocery stephenie landry managed sudden surge demand grocery delivery reality coronavirus stay home restrictions set code commerce,5,0,2020-09-09 18:33:01+00:00,@recode
95,95,walmart finally launch september compete amazon prime,4,6,2020-09-01 12:48:14+00:00,@recode
96,96,walmart finally launch september compete amazon prime,6,0,2020-09-01 04:03:47+00:00,@recode
97,97,inside get rich quick scheme cost amazon sellers thousands got banned,3,3,2020-08-21 13:32:06+00:00,@recode
98,98,government shutdowns nonessential retailers huge gift amazon walmart target,20,2,2020-08-20 13:52:13+00:00,@recode
99,99,walmart counter amazon prime delayed unclear whether new internal launch date,16,7,2020-08-04 20:07:08+00:00,@recode
100,100,amazon posted record sales profit middle pandemic,13,10,2020-07-30 23:10:39+00:00,@recode
101,101,jeff bezos antitrust grilling reminder amazon power sellers,12,3,2020-07-30 02:09:26+00:00,@recode
102,102,amazon told employees delete tiktok phones security risks,6,8,2020-07-10 19:54:27+00:00,@recode
103,103,walmart amazon prime competitor launch july,9,11,2020-07-07 15:32:46+00:00,@recode
104,104,real cost amazon,11,6,2020-06-29 17:45:53+00:00,@recode
105,105,amazon one richest influential companies world workers demanding better pay labor conditions amazon responds impact hundreds thousands set example corporations everywhere better worse,140,64,2020-06-29 13:38:38+00:00,@recode
106,106,real cost amazon,14,3,2020-06-29 12:01:24+00:00,@recode
107,107,amazon suspends police access facial recognition technology one year,11,6,2020-06-10 23:35:15+00:00,@recode
108,108,amazon top lawyer sent black lives matter memo mention racial controversy,5,3,2020-06-04 00:11:42+00:00,@recode
109,109,amazon extends bonus pay frontline workers says ends june,3,4,2020-05-13 16:26:00+00:00,@recode
110,110,amazon vp resignation shows internal unrest rising top,15,6,2020-05-04 15:50:41+00:00,@recode
