Jeff Bezos,Amazon,@JeffBezos
Elon Musk,Tesla,@elonmusk
Mark Zuckerberg,Facebook,@finkd
Marc Benioff,Salesforce.com,@Benioff
Reed Hastings,Netflix,@reedhastings
Satya Nadella,Microsoft,@satyanadella
Shantanu Narayen,Adobe,@snarayen
Tim Cook,Apple,@tim_cook
Arne Sorenson,Marriott International,@MarriottIntl
Larry Page and Sergey Brin,Alphabet,@SergeyBrin_News
John Donahoe,ServiceNow,@donahoe_john
Brad Smith,Intuit,@Brad_D_Smith
Scott Stephenson,Verisk Analytics,@deepgramscott
Bob Iger,Walt Disney,@RobertIger
Rodney Sacks,,@SacksR
Micheal Mahoney,,@KCMikeMahoney
Ajaypal Banga,,@Ajaypalbanga
Stephen Easterbrook,,@Seasterb
Mark Parker,,@themarkparker
Ron Clark,,@mrronclark_
Michael Mussallem,,@mussallemm
Jeff Yabuki,,@jeffyabuki
Jack Dorsey,,@jack
Jeremiah Owyang,,@jowyang
Aaron Levie,,@levie
Om Malik,,@om
Robert Scoble,,@Scobleizer
Mathew Ingram,,@mathewi
Benedict Evans,,@BenedictEvans
Bill Gates,,@BillGates
Anil Dash,,@anildash
Ezra Klein,,@ezraklein
Walt Mossberg,,@waltmossberg
Marc Andreessen,,@pmarca
Jim Roberts,,@nycjim
Nick Bilton,,@nickbilton
Dave Winer,,@davewiner
Paul Graham,,@paulg
Tim O Reily,,@timoreilly
Kara Swisher,,@karaswisher
Chris Hadfield,,@Cmdr_Hadfield
Danny Sullivan,,@dannysullivan
Dave McClure,,@davemcclure
MG Siegler,,@parislemon
Scott Hanselman,,@shanselman
Farhad Manjoo,,@fmanjoo
Paul Thurrott,,@thurrott
Alex Wilhelm,,@alex
Tom Warren,,@tomwarren
Arianna Huffington,,@ariannahuff
Matt Cutts,,@mattcutts
Fred Wilson,,@fredwilson
Chris Pirillo,,@ChrisPirillo
Mark Suster,,@msuster
David Heinemeier Hansson,,@DHH
Loic Le Meur,,@loic
Brad Feld,,@bfeld
Kim Dotcom,,@KimDotcom
